Year,Make,Model,Subseries,Color,Drs,Cyl,Fuel,Trans,4x4,EW,Radio,Top,Int,Odometer,Price
2017,TOYOTA,CAMRY 4C,SE,GRAY,4,4,GAS,A,4X2,A,CD,HT,B,"52,301","$18,600"
2018,TOYOTA,CAMRY 4C,XSE,BLACK,4,4,GAS,A,4X2,A,AM/FM,PN,E,"117,628","$17,000"
2003,TOYOTA,COROLLA,CE,MAROON,4,4,GAS,,4X2,,,,,"208,282","$1,100"
2008,TOYOTA,COROLLA,CE,GOLD,4,4,GAS,A,4X2,,CD,HT,C,"154,759","$3,800"
2014,TOYOTA,COROLLA,LE,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"107,634","$11,300"
2017,TOYOTA,COROLLA,LE,SILVER,4,4,GAS,A,4X2,A,CD,HT,C,"49,665","$14,000"
2018,TOYOTA,COROLLA,LE,GRAY,4,4,GAS,A,4X2,A,CD,SR,C,"85,367","$14,500"
2006,TOYOTA,COROLLA,S,GRAY,4,4,GAS,A,4X2,,CD,HT,C,"185,942","$2,400"
2011,TOYOTA,COROLLA,S,SILVER,4,4,GAS,M,4X2,,,,,"211,215","$4,300"
2004,TOYOTA,COROLLA,SPORT,WHITE,4,4,GAS,,4X2,,,,,"175,996","$3,400"
2007,TOYOTA,FJ CRUISER 4X4,,BLUE,S,6,GAS,A,4X4,A,CD,HT,C,"214,008","$9,200"
2014,TOYOTA,HIGHLNDR AWD V6,XLE,BLACK,S,6,GAS,A,AWD,A,CD,SR,E,"166,309","$16,400"
2009,TOYOTA,MATRIX FWD 4C,,RED,4,4,GAS,A,4X2,A,CD,HT,C,"161,868","$3,300"
2007,TOYOTA,PRIUS,NONE,SILVER,S,4,C,A,,,N,NO,N,"99,119","$6,100"
2019,TOYOTA,RAV4 AWD,LIMITED,BLACK,S,4,GAS,A,AWD,A,AM/FM,SR,L,"58,664","$33,800"
2013,TOYOTA,RAV4 AWD,XLE,BLACK,S,4,GAS,A,AWD,A,CD,SR,C,"78,815","$14,800"
2018,TOYOTA,RAV4 AWD,XLE,BLACK,S,4,GAS,A,AWD,A,CD,SR,C,"27,307","$26,600"
2007,TOYOTA,RAV4 FWD 4C,,WHITE,S,4,GAS,A,4X2,,,SR,,"175,248","$4,100"
2007,TOYOTA,RAV4 4X4 V6,LIMITED,BLUE,S,6,GAS,,4X4,,,,,"201,183","$3,300"
2008,TOYOTA,RAV4 4X4 4C,SPORT,SILVER,S,4,GAS,A,4X4,A,CD,SR,C,"177,757","$4,400"
2008,TOYOTA,SEQUOIA 4X2 V8,SR5,WHITE,S,8,GAS,O,4X2,A,CD,HT,L,"108,665","$12,400"
2014,TOYOTA,SIENNA FWD,LE,BLACK,V,6,GAS,A,4X2,A,CD,HT,C,"123,643","$13,600"
2019,TOYOTA,TACOMA 4X2 EX,SR,WHITE,X,4,GAS,A,4X2,A,CD,HT,C,"42,920","$22,300"
2008,TOYOTA,TACOMA 4X4 DB,,BLUE,C,6,GAS,A,4X4,A,CD,HT,C,"100,600","$15,000"
2019,TOYOTA,TACOMA 4X4 EX,SR,BLACK,X,6,GAS,A,4X4,A,CD,HT,C,"63,459","$29,000"
2016,TOYOTA,TACOMA 4X4 V6,SR,WHITE,D,6,GAS,A,4X4,A,CD,HT,C,"41,383","$30,000"
2007,TOYOTA,TUNDRA 4X4 V8,LTD,SILVER,C,8,GAS,O,4X4,A,CD,HT,E,"87,961","$13,500"
2004,TOYOTA,4RUNNER 4X4 V6,SR5,SILVER,S,6,GAS,A,4X4,,,SR,,"125,247","$6,500"
2005,TOYOTA,4RUNNER 4X4 V8,SR5,SILVER,S,8,GAS,A,4X4,A,B,SR,C,"186,991","$5,400"
2011,NISSAN,ALTIMA,2.5 S,WHITE,4,4,GAS,,4X2,,,,,"172,387","$2,100"
2008,NISSAN,ALTIMA,2.5 SL,BLACK,4,4,GAS,,4X2,,,SR,,"91,655","$3,599"
2019,NISSAN,ALTIMA AWD 4C,2.5 SL,WHITE,4,4,GAS,A,AWD,A,AM/FM,SR,L,"27,918","$28,400"
2019,NISSAN,ALTIMA AWD 4C,2.5 SL,SILVER,4,4,GAS,A,AWD,A,AM/FM,SR,L,"11,181","$28,400"
2020,NISSAN,ALTIMA AWD 4C,2.5 SR,BLUE,4,4,GAS,A,AWD,A,AM/FM,HT,L,"32,177","$23,400"
2019,NISSAN,ALTIMA FWD 4C,2.5 S,GRAY,4,4,GAS,A,4X2,A,AM/FM,HT,C,"3,921","$19,000"
2019,NISSAN,ALTIMA FWD 4C,2.5 S,SILVER,4,4,GAS,A,4X2,A,AM/FM,HT,C,"27,410","$21,600"
2004,NISSAN,ALTIMA 4C,S,SILVER,4,4,GAS,A,4X2,A,CD,HT,C,"144,137","$2,200"
2006,NISSAN,ALTIMA 4C,2.5 S,GREEN,4,4,GAS,A,4X2,,CD,HT,C,"110,946","$3,000"
2007,NISSAN,ALTIMA 4C,2.5 S,SILVER,4,4,GAS,A,4X2,,CD,HT,C,"65,592","$5,400"
2014,NISSAN,ALTIMA 4C,2.5 S,BROWN,4,4,GAS,A,4X2,A,CD,HT,C,"89,068","$6,500"
2015,NISSAN,ALTIMA 4C,2.5 S,BROWN,4,4,GAS,A,4X2,A,CD,HT,C,"35,231","$14,100"
2016,NISSAN,ALTIMA 4C,2.5 S,BLACK,4,4,GAS,A,4X2,A,CD,HT,C,"98,279","$8,200"
2016,NISSAN,ALTIMA 4C,2.5 S,BLACK,4,4,GAS,A,4X2,A,CD,HT,C,"43,440","$5,100"
2017,NISSAN,ALTIMA 4C,2.5 S,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"110,740","$7,000"
2018,NISSAN,ALTIMA 4C,2.5 S,BLACK,4,4,GAS,A,4X2,A,CD,HT,C,"37,254","$20,000"
2013,NISSAN,ALTIMA 4C,2.5 SL,WHITE,4,4,GAS,,,,,,,"88,799","$6,500"
2016,NISSAN,ALTIMA 4C,2.5 SL,BLACK,4,4,GAS,A,4X2,A,CD,SR,L,"47,898","$16,900"
2015,NISSAN,ALTIMA 4C,2.5 SV,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"53,381","$11,000"
2006,NISSAN,ARMADA 4X4,LE,BLUE,S,8,GAS,O,4X4,A,CD,SR,L,"169,592","$3,150"
2012,NISSAN,ARMADA 4X4,SL,SILVER,4,8,GAS,O,4X4,A,CD,SR,L,"89,933","$15,000"
2001,NISSAN,FRONTIER 4X4 CR,SE,TAN,C,6,GAS,A,4X4,A,CD,HT,C,"114,259","$7,400"
2013,NISSAN,JUKE AWD,S,BLACK,4,4,GAS,A,AWD,A,CD,HT,C,"87,033","$7,000"
2018,NISSAN,KICKS,S,SILVER,S,4,GAS,A,4X2,A,AM/FM,HT,C,"12,580","$21,200"
2017,NISSAN,MAXIMA,SL,GRAY,4,6,GAS,A,4X2,A,CD,MR,L,"69,951","$20,000"
2012,NISSAN,MAXIMA,3.5 S,BLACK,4,6,GAS,A,4X2,,,SR,,"152,523","$4,000"
2016,NISSAN,MAXIMA,3.5 S,BLACK,4,6,GAS,A,4X2,A,CD,HT,C,"115,845","$12,505"
2016,NISSAN,MAXIMA,3.5 SL,WHITE,4,6,GAS,A,4X2,A,CD,MR,E,"52,209","$21,800"
2009,NISSAN,MAXIMA,3.5 SV,WHITE,4,6,GAS,A,4X2,A,CD,MR,L,"162,623","$6,500"
2010,NISSAN,MAXIMA,3.5 SV,RED,4,6,GAS,A,4X2,A,,SR,L,"120,893","$5,300"
2012,NISSAN,MAXIMA,3.5 SV,WHITE,4,6,GAS,A,4X2,A,CD,SR,L,"109,396","$6,500"
2015,NISSAN,MURANO AWD,PLATINUM,SILVER,S,6,GAS,A,AWD,A,CD,PN,L,"158,510","$11,600"
2014,NISSAN,MURANO AWD,S,BLACK,S,6,GAS,A,AWD,A,CD,HT,C,"53,341","$13,200"
2019,NISSAN,MURANO AWD,S,BLACK,S,6,GAS,A,AWD,A,CD,HT,C,"22,473","$28,800"
2011,NISSAN,MURANO AWD,SL,WHITE,S,6,GAS,A,AWD,A,CD,MR,L,"151,355","$4,400"
2011,NISSAN,MURANO AWD,SL,MAROON,S,6,GAS,A,AWD,A,,MR,L,"68,035","$8,300"
2018,NISSAN,MURANO AWD,SL,WHITE,S,6,GAS,A,AWD,A,CD,PN,L,"32,145","$30,900"
2011,NISSAN,MURANO AWD,SV,GRAY,S,6,GAS,A,AWD,A,CD,MR,C,"129,941","$6,600"
2018,NISSAN,PATHFIND FWD,S,SILVER,S,6,GAS,A,4X2,A,CD,HT,C,"50,027","$24,900"
2014,NISSAN,PATHFIND 4X4,NONE,BLUE,S,6,C,A,4X4,,N,NO,N,"101,364","$14,700"
2013,NISSAN,PATHFIND 4X4,PLATINUM,BLACK,S,6,GAS,A,AWD,A,CD,MR,L,"144,709","$7,900"
2013,NISSAN,PATHFIND 4X4,PLATINUM,SILVER,S,6,GAS,A,AWD,A,CD,MR,L,"100,217","$12,000"
2018,NISSAN,PATHFIND 4X4,S,BLUE,S,6,GAS,A,4X4,A,CD,HT,C,"33,160","$24,400"
2006,NISSAN,PATHFIND 4X4,SE,BLACK,S,6,GAS,A,4X4,A,CD,SR,C,"124,923","$3,700"
2018,NISSAN,PATHFIND 4X4,SL,GRAY,S,6,GAS,A,4X4,A,CD,MR,E,"37,030","$29,300"
2019,NISSAN,PATHFIND 4X4,SL,BLACK,S,6,GAS,A,4X4,A,CD,HT,L,"48,555","$29,750"
2015,NISSAN,PATHFIND 4X4,SV,BLACK,S,6,GAS,A,4X4,A,CD,HT,C,"63,870","$17,500"
2012,NISSAN,PATHFIND 4X4 V6,SV,BLACK,S,6,GAS,A,4X4,A,CD,HT,C,"111,346","$9,400"
2008,NISSAN,PATHFINDER,LE,WHITE,S,8,GAS,A,4X4,,,SR,,"152,935","$5,500"
2008,NISSAN,ROGUE AWD,,BLACK,S,4,GAS,,AWD,,,,,"173,659","$2,900"
2009,NISSAN,ROGUE AWD,S,RED,4,4,GAS,A,AWD,A,CD,HT,C,"128,079","$4,300"
2013,NISSAN,ROGUE AWD,S,WHITE,S,4,GAS,A,AWD,A,CD,HT,C,"80,403","$8,500"
2013,NISSAN,ROGUE AWD,S,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"66,753","$10,800"
2018,NISSAN,ROGUE AWD,S,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"29,828","$22,000"
2013,NISSAN,ROGUE AWD,SL,RED,S,4,GAS,A,AWD,A,CD,SR,L,"96,017","$11,000"
2018,NISSAN,ROGUE AWD,SL,WHITE,S,4,GAS,A,AWD,A,CD,PN,E,"46,403","$25,200"
2018,NISSAN,ROGUE AWD,SL,WHITE,S,4,GAS,A,AWD,A,CD,HT,L,"17,530","$28,750"
2018,NISSAN,ROGUE AWD,SL,SILVER,S,4,GAS,A,AWD,A,CD,PN,L,"25,198","$26,899"
2015,NISSAN,ROGUE AWD,SV,BLUE,S,4,GAS,A,AWD,A,CD,HT,C,"68,581","$15,700"
2018,NISSAN,ROGUE AWD,SV,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"40,386","$23,000"
2018,NISSAN,ROGUE AWD,SV,GRAY,S,4,GAS,A,AWD,A,CD,HT,C,"42,121","$24,400"
2018,NISSAN,ROGUE AWD,SV,SILVER,S,4,GAS,A,AWD,A,CD,HT,C,"22,476","$25,400"
2018,NISSAN,ROGUE AWD,SV,BLUE,S,4,GAS,A,AWD,A,CD,HT,C,"34,359","$21,800"
2018,NISSAN,ROGUE AWD,SV,GREEN,S,4,GAS,A,AWD,A,CD,HT,C,"19,738","$24,500"
2019,NISSAN,ROGUE AWD 4C,S,GRAY,S,4,GAS,A,AWD,A,CD,HT,C,"25,959","$24,200"
2019,NISSAN,ROGUE AWD 4C,S,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"46,845","$22,600"
2016,NISSAN,ROGUE AWD 4C,SL,RED,S,4,GAS,A,AWD,A,CD,PN,L,"45,924","$21,800"
2016,NISSAN,ROGUE AWD 4C,SV,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"65,215","$13,800"
2019,NISSAN,ROGUE AWD 4C,SV,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"19,246","$27,800"
2020,NISSAN,ROGUE AWD 4C,SV,SILVER,S,4,GAS,A,,,,,,"11,195","$29,000"
2015,NISSAN,ROGUE SEL AWD,S,GRAY,S,4,GAS,A,AWD,A,CD,HT,C,"123,852","$8,000"
2015,NISSAN,ROGUE SEL AWD,S,SILVER,S,4,GAS,A,AWD,A,CD,HT,C,"23,118","$16,900"
2015,NISSAN,ROGUE SEL AWD,S,BLUE,S,4,GAS,A,AWD,A,CD,HT,C,"110,865","$10,300"
2018,NISSAN,ROGUE SPORT AWD,SL,WHITE,S,4,GAS,A,AWD,A,CD,HT,L,"88,817","$15,500"
2017,NISSAN,ROGUE SPORT AWD,SV,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"34,640","$18,700"
2019,NISSAN,SENTRA,S,GRAY,4,4,GAS,A,4X2,A,AM/FM,HT,C,"27,007","$17,600"
2014,NISSAN,SENTRA,SR,SILVER,4,4,GAS,A,4X2,A,CD,HT,C,"61,932","$9,400"
2018,NISSAN,SENTRA,SR,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"34,147","$16,800"
2015,NISSAN,SENTRA,SV,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"96,660","$7,400"
2019,NISSAN,SENTRA,SV,BLACK,4,4,GAS,A,4X2,A,AM/FM,HT,C,"34,751","$18,400"
2019,NISSAN,SENTRA,SV,WHITE,4,4,GAS,A,4X2,A,AM/FM,HT,C,"29,564","$19,000"
2019,NISSAN,SENTRA,SV,BLUE,4,4,GAS,A,4X2,A,AM/FM,HT,C,"40,802","$17,400"
2006,NISSAN,SENTRA,1.8 S,SILVER,4,4,GAS,A,4X2,,,,,"166,120","$2,400"
2012,NISSAN,SENTRA,2.0 SR,WHITE,4,4,GAS,A,4X2,A,,SR,C,"95,772","$3,500"
2009,NISSAN,SENTRA,2.0 SR FE+,BLACK,4,4,GAS,,4X2,,,,,"215,809","$1,400"
2006,NISSAN,TITAN 4X4 CR,LE,BLACK,C,8,GAS,O,4X4,T,CD,SR,L,"158,529","$8,200"
2017,NISSAN,TITAN 4X4 CR,SL,GRAY,C,8,GAS,A,4X4,A,CD,HT,E,"81,819","$30,900"
2020,NISSAN,VERSA,SR,BLUE,4,4,GAS,A,4X2,,,HT,,"65,039","$17,900"
2019,NISSAN,VERSA,SV,GRAY,4,4,GAS,A,4X2,A,AM/FM,HT,C,"48,728","$16,200"
2016,NISSAN,VERSA NOTE,SV,BLACK,5,4,GAS,A,4X2,A,CD,HT,C,"119,690","$2,900"
2008,NISSAN,XTERRA 4X4,S,BLACK,4,6,GAS,A,4X4,A,CD,HT,C,"223,212","$2,100"
2009,NISSAN,ALTIMA,2.5 S,WHITE,4,4,GAS,,4X2,,,,,"147,026","$2,500"
2011,NISSAN,ALTIMA,2.5 S,WHITE,4,4,GAS,A,4X2,,,,,"171,686","$2,000"
2020,NISSAN,ALTIMA FWD 4C,2.5 S,SILVER,4,4,GAS,A,4X2,A,AM/FM,HT,C,"20,483","$22,800"
2012,NISSAN,ALTIMA 4C,2.5 S,BLACK,4,4,GAS,A,4X2,A,CD,SR,L,"161,672","$4,000"
2014,NISSAN,ALTIMA 4C,2.5 S,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"132,890","$8,000"
2016,NISSAN,ALTIMA 4C,2.5 S,BLACK,4,4,GAS,A,4X2,A,CD,HT,C,"98,254","$10,800"
2013,NISSAN,ALTIMA 4C,2.5 SV,BLUE,4,4,GAS,A,4X2,A,CD,HT,C,"89,382","$9,700"
2017,NISSAN,ALTIMA 4C,2.5 SV,GRAY,4,4,GAS,A,4X2,A,CD,HT,C,"51,000","$17,800"
2011,NISSAN,ARMADA,PLATINUM,BLACK,S,8,GAS,A,4X4,,,SR,,"164,517","$8,100"
2017,NISSAN,ARMADA AWD,SV,SILVER,S,8,GAS,A,4X4,A,CD,HT,C,"60,748","$28,800"
2009,NISSAN,FRONTIER,SE,GRAY,C,6,GAS,A,4X4,,,,,"205,538","$7,300"
2012,NISSAN,FRONTIER 4X4 EX,SV,RED,X,6,GAS,A,4X4,A,CD,HT,C,"188,088","$7,700"
2020,NISSAN,KICKS,S,SILVER,S,4,GAS,A,4X2,A,AM/FM,HT,C,"29,846","$19,400"
2009,NISSAN,MAXIMA,,GRAY,4,6,GAS,,4X2,,,SR,,"140,787","$5,800"
2017,NISSAN,MAXIMA,PLATINUM,BLACK,4,6,GAS,A,4X2,A,CD,MR,L,"42,388","$23,000"
2018,NISSAN,MAXIMA,SL,RED,4,6,GAS,A,4X2,A,CD,MR,L,"21,735","$30,500"
2014,NISSAN,MAXIMA,3.5 SV PRM,RED,4,6,GAS,A,4X2,A,CD,MR,L,"46,251","$18,200"
2009,NISSAN,MURANO AWD,S,GRAY,4,6,GAS,A,AWD,A,CD,HT,C,"152,158","$3,300"
2018,NISSAN,MURANO AWD,SL,WHITE,S,6,GAS,A,AWD,A,CD,HT,E,"30,521","$29,500"
2013,NISSAN,MURANO CROSSCAB,,BLACK,2,6,GAS,A,AWD,A,CD,CV,L,"113,097","$7,200"
2011,NISSAN,MURANO FWD,SL,BROWN,S,6,GAS,A,4X2,A,CD,MR,L,"151,799","$3,400"
2018,NISSAN,PATHFIND 4X4,SL,WHITE,S,6,GAS,A,4X4,A,CD,HT,L,"42,848","$28,300"
2009,NISSAN,ROGUE,SL,GRAY,4,4,GAS,,AWD,,,,,"145,445","$3,300"
2010,NISSAN,ROGUE AWD,S,BLACK,4,4,GAS,A,AWD,A,CD,HT,C,"117,189","$1,800"
2013,NISSAN,ROGUE AWD,S,WHITE,S,4,GAS,A,AWD,A,CD,HT,C,"70,599","$9,400"
2015,NISSAN,ROGUE AWD,S,WHITE,S,4,GAS,A,AWD,A,CD,HT,C,"75,332","$16,200"
2015,NISSAN,ROGUE AWD,SL,BLACK,S,4,GAS,A,AWD,A,CD,PN,L,"72,126","$17,700"
2011,NISSAN,ROGUE AWD,SV,SILVER,S,4,GAS,A,AWD,A,CD,HT,C,"152,104","$1,900"
2018,NISSAN,ROGUE AWD,SV,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"29,250","$21,500"
2018,NISSAN,ROGUE AWD,SV,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"85,881","$17,800"
2019,NISSAN,ROGUE AWD 4C,S,GRAY,S,4,GAS,A,AWD,A,CD,HT,C,"32,603","$23,600"
2019,NISSAN,ROGUE AWD 4C,S,BLUE,S,4,GAS,A,AWD,A,CD,HT,C,"38,825","$24,000"
2017,NISSAN,ROGUE AWD 4C,SL,WHITE,S,4,GAS,A,AWD,A,CD,PN,L,"37,287","$24,400"
2019,NISSAN,ROGUE AWD 4C,SV,BLACK,S,4,GAS,A,AWD,A,CD,HT,C,"37,541","$24,000"
2014,NISSAN,ROGUE SEL AWD,S,BLACK,S,4,GAS,A,AWD,A,AM/FM,HT,C,"82,026","$8,500"
2019,NISSAN,ROGUE SPORT AWD,S,WHITE,S,4,GAS,A,AWD,A,CD,HT,C,"22,193","$22,800"
2016,NISSAN,SENTRA,S,SILVER,4,4,GAS,A,4X2,A,CD,HT,C,"60,716","$8,400"
2019,NISSAN,SENTRA,SR,BLUE,4,4,GAS,A,4X2,A,,HT,C,"29,984","$17,700"
2020,NISSAN,SENTRA,SR,WHITE,4,4,GAS,A,4X2,A,AM/FM,HT,C,"27,690","$22,600"
2018,NISSAN,SENTRA,SV,GRAY,4,4,GAS,A,4X2,A,CD,HT,C,"60,617","$11,100"
2019,NISSAN,SENTRA,SV,WHITE,4,4,GAS,A,4X2,A,,HT,C,"43,562","$12,600"
2019,NISSAN,SENTRA,SV,GRAY,4,4,GAS,A,4X2,A,AM/FM,HT,C,"9,752","$20,500"
2012,NISSAN,VERSA,SV,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"122,124","$2,200"
2006,NISSAN,XTERRA,SE,GREY,S,6,GAS,A,4X4,,CD,HT,C,"154,849","$3,400"
2019,NISSAN,ALTIMA FWD 4C,2.5 S,BLUE,4,4,GAS,A,4X2,A,AM/FM,HT,C,"15,042","$21,200"
2005,NISSAN,ALTIMA V6,3.5 SE,SILVER,4,6,GAS,A,4X2,A,CD,HT,C,"293,074",$500
2015,NISSAN,ALTIMA V6,3.5 SL,WHITE,4,6,GAS,A,4X2,A,CD,SR,L,"84,209","$12,400"
2017,NISSAN,ALTIMA 4C,NONE,WHITE,S,4,C,A,,,N,NO,N,"60,199","$16,000"
2017,NISSAN,ALTIMA 4C,NONE,GRAY,S,4,C,A,,,N,NO,N,"112,859","$10,095"
2015,NISSAN,ALTIMA 4C,2.5 S,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"129,687","$4,500"
2016,NISSAN,ALTIMA 4C,2.5 S,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"47,545","$15,200"
2018,NISSAN,ALTIMA 4C,2.5 S,SILVER,4,4,GAS,A,4X2,A,CD,HT,C,"46,727","$18,000"
2018,NISSAN,ALTIMA 4C,2.5 S,BLACK,4,4,GAS,A,4X2,A,,HT,C,"42,482","$18,000"
2018,NISSAN,ALTIMA 4C,2.5 SL,WHITE,4,4,GAS,A,4X2,A,CD,HT,L,"39,650","$20,800"
2017,NISSAN,ALTIMA 4C,2.5 SR,WHITE,4,4,GAS,A,4X2,A,CD,HT,C,"65,113","$13,700"
2013,NISSAN,ARMADA 4X4,SV,RED,S,8,GAS,O,4X4,A,CD,HT,C,"84,431","$14,200"
2009,NISSAN,FRNTR 4X4 CR,LE,BLACK,C,6,GAS,A,4X4,A,CD,SR,L,"249,645","$6,000"
2012,NISSAN,FRONTIER 4X4 CR,PRO-4X,WHITE,C,6,GAS,A,4X4,A,CD,SR,C,"102,693","$14,000"
2017,NISSAN,FRONTIER 4X4 CR,PRO-4X,SILVER,C,6,GAS,A,4X4,A,CD,SR,E,"44,869","$27,800"
2014,NISSAN,FRONTIER 4X4 CR,S,SILVER,C,6,GAS,A,4X4,A,CD,HT,C,"91,048","$13,900"
2019,NISSAN,KICKS,S,GRAY,S,4,GAS,A,4X2,A,AM/FM,HT,C,"24,233","$19,700"
2017,NISSAN,MAXIMA,S,GRAY,4,6,GAS,A,4X2,A,CD,HT,C,"68,839","$19,000"
2016,NISSAN,MAXIMA,3.5 PLAT,GRAY,4,6,GAS,A,4X2,A,CD,MR,L,"111,068","$15,800"
2018,NISSAN,MURANO FWD,SV,SILVER,S,6,GAS,A,4X2,A,CD,HT,C,"55,962","$21,600"
2017,NISSAN,NV2500 CARGO V6,2500 SV,WHITE,V,6,GAS,A,4X2,A,CD,HT,C,"62,463","$7,400"
2014,NISSAN,PATHFIND 4X4,PLATINUM,SILVER,S,6,GAS,A,4X4,A,CD,MR,L,"150,050","$10,500"
